id,Answer One,ao,Answer Two,at,size
190,Motion Graphics,mg,Blockchain technology,bt,5
191,Blockchain technology,bt,Blockchain technology,bt,5
192,Blockchain technology,bt,Blockchain technology,bt,5
193,Blockchain technology,bt,Blockchain technology,bt,5
194,Blockchain technology,bt,Blockchain technology,bt,5
195,Blockchain technology,bt,Blockchain technology,bt,5
196,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
197,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
198,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
199,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
200,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
201,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
202,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
203,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
204,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
205,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
206,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
207,Data mgmt & data visualizations,dataviz,AI & machine learning,aiml,5
208,Data mgmt & data visualizations,dataviz,AI & machine learning,aiml,5
209,AI & machine learning,aiml,AI & machine learning,aiml,5
210,AI & machine learning,aiml,AI & machine learning,aiml,5
211,AI & machine learning,aiml,AI & machine learning,aiml,5
212,AI & machine learning,aiml,AI & machine learning,aiml,5
213,AI & machine learning,aiml,AI & machine learning,aiml,5
214,AI & machine learning,aiml,AI & machine learning,aiml,5
215,AI & machine learning,aiml,AI & machine learning,aiml,5
216,AI & machine learning,aiml,AI & machine learning,aiml,5
217,AI & machine learning,aiml,AI & machine learning,aiml,5
218,AI & machine learning,aiml,AI & machine learning,aiml,5
219,AI & machine learning,aiml,AI & machine learning,aiml,5
220,AI & machine learning,aiml,AI & machine learning,aiml,5
221,AI & machine learning,aiml,AI & machine learning,aiml,5
222,AI & machine learning,aiml,AI & machine learning,aiml,5
223,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
224,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
225,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
226,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
227,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
228,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
229,Storytelling &/or game design,sgd,Storytelling &/or game design,sgd,5
230,Principles of Design,pd,Storytelling &/or game design,sgd,5
231,Principles of Design,pd,Storytelling &/or game design,sgd,5
232,Principles of Design,pd,Principles of Design,pd,5
233,Principles of Design,pd,Principles of Design,pd,5
234,Business skills & project mgmt,bspm,AI & machine learning,aiml,5
235,Business skills & project mgmt,bspm,AI & machine learning,aiml,5
236,Business skills & project mgmt,bspm,AI & machine learning,aiml,5
237,Physical Computing,pc,AI & machine learning,aiml,5
238,Physical Computing,pc,AI & machine learning,aiml,5
239,Physical Computing,pc,AI & machine learning,aiml,5
